"","V1","V2","V3","V4","V5","V6","V7","V8"
"142",0.1520639586,-1.7789334423,-0.0024985448,1.3062677337,0.0091427599,1.3452772751,12.3617032351,1.3426418657
"143",0.1510311176,-1.5949403435,-0.0014044643,1.1846690242,0.0065648089,1.344581593,12.3610176323,1.3433144204
"144",0.1489766266,-1.7634432265,-0.0013211487,1.4257566281,0.0026328241,1.3462811953,12.3622880819,1.3440331352
"145",0.1438994264,-1.6110769783,0.0060654858,1.9356766381,0.0639113159,1.3468448751,12.3629288464,1.3427869018
"146",0.1430332258,-1.7438455168,0.0020213904,5.7852294873,0.0685845095,1.3455934223,12.3627366622,1.3446737369
"147",0.1440034701,-1.6170380791,-0.0019574151,5.1935309284,0.111846366,1.3450944835,12.3627216174,1.3450564318
"148",0.1439271685,-1.7227318674,-0.0019581465,3.6253030786,0.131360205,1.3474207541,12.3635061673,1.3438931388
"149",0.1430205986,-1.6512268439,-0.0020731959,4.1920208193,0.0796020049,1.3483803157,12.3617146563,1.3430317163
"150",0.1428156582,-1.7390871787,-0.0022850146,3.392521992,0.0907534551,1.3471629215,12.3618840781,1.3424507459
"151",0.1457780073,-1.677845067,-0.0022854363,2.7152291014,0.0697728776,1.3460333778,12.3624435585,1.342926125
"152",0.1453797144,-1.677466729,-0.002278645,2.3293601104,0.0990488155,1.3435554076,12.3628967495,1.3439056866
"153",0.1460461903,-1.6799200117,-0.0024263534,1.6717981109,0.0807526287,1.3369121789,12.3614786134,1.3437592306
"154",0.143656185,-1.3326540825,-0.0025487129,1.5123739367,0.0614168656,1.3309281586,12.3621174763,1.3433231524
"155",0.1440961951,-1.4366041874,-0.0025366882,1.5925634258,0.0528246622,1.333757771,12.3638765541,1.3409970777
"156",0.1457412819,-1.2966132041,-0.0024745798,0.6188920742,0.052071455,1.3350692038,12.3623500526,1.3419525411
"157",0.1450648444,-1.4593601083,-0.0022767502,0.250342673,0.0520810584,1.3382737639,12.3624546765,1.3431341373
"158",0.1428169724,-1.5315308547,-0.0022157137,0.1678182653,0.0251826846,1.3352012232,12.3619549235,1.34334733
"159",0.1411077885,-1.9777309587,-0.0022186068,0.1339055844,0.0187442893,1.3364861113,12.3621064033,1.34213787
"160",0.143609607,-1.5549560586,-0.0022204,0.0425303399,0.0277899864,1.3329571315,12.3623030682,1.3421768815
"161",0.1451276665,-1.8224516082,-0.0024363988,-0.0019828708,0.0053033313,1.3314804952,12.3619422921,1.3441359001
"162",0.1476785755,-1.5998767659,-0.0025261492,-0.0021387915,-2e-06,1.3328866543,12.3623353954,1.3446730814
"163",0.1501993785,-1.8744498896,-0.0025295435,-0.0023741781,-1.4e-06,1.3356196587,12.3619022487,1.3445395977
"164",0.1498847251,-1.5453432758,-0.0025231401,-0.0024102974,-1.7e-06,1.3350339126,12.3610056548,1.3440330019
"165",0.1527466566,-1.9492142581,-0.0025210338,-0.0024565819,-2e-06,1.335734013,12.3616912527,1.3442973528
"166",0.1523329096,-1.6680803342,-0.0025126654,-0.0024468201,-1.1e-06,1.334641757,12.3622175225,1.3455466741
"167",0.1507852899,-2.1730681292,-0.0013743696,-0.0024421135,-6e-07,1.3349682867,12.3632842188,1.3450192727
"168",0.1513014471,-1.7833851004,-0.0023411826,-0.0024437863,-2.3e-06,1.3344027748,12.3616869888,1.348589192
"169",0.1515293166,-1.9295305157,-0.0025137898,-0.0024545762,-2.3e-06,1.3369750874,12.3613091784,1.3494695633
"170",0.1514642528,-1.6788533844,-0.0025179661,-0.0024550249,-1.1e-06,1.3367392729,12.3623800667,1.3493311099
"171",0.1500707362,-1.8058223908,-0.0025162543,-0.002465088,-9e-07,1.3344898651,12.3634245657,1.3483114391
"172",0.14867926,-1.6839386167,-0.0025243,-0.0024118748,-1.1e-06,1.3333320132,12.3626456806,1.3481154737
"173",0.1475536089,-1.578562406,-0.0025257774,-0.0023844605,-3.8e-06,1.3343684236,12.3621357203,1.3493562418
"174",0.1487281988,-1.5919784435,-0.0025103879,-0.0024104744,-1.1e-06,1.337329586,12.3628341798,1.3489668354
"175",0.1474218983,-1.5735552244,-0.0025090885,-0.0024239497,-2.2934e-06,1.3397170292,12.362562382,1.3468604582
"176",0.1463062501,-1.4402690856,-0.0025231231,-0.0024422538,-2.2066e-06,1.3410702578,12.3622897818,1.3472392999
"177",0.1450537147,-0.6544018063,-0.0025258647,-0.0024393632,-1.7e-06,1.3405953169,12.3623935307,1.3474542051
"178",0.1438098988,-0.210954333,-0.0025329216,-0.0024093041,-1.2e-06,1.3435294645,12.3630788889,1.3483964443
"179",0.1430845615,-0.217931176,-0.0015065264,-0.0024245001,-2.2e-06,1.3446609023,12.3622942495,1.3475938639
"180",0.1426501941,-0.2129453681,-0.0023104041,-0.0024371563,-2.8e-06,1.3459294838,12.3611916257,1.3482542232
"181",0.1425262977,-0.2098952191,-0.0024838535,-0.002426512,-2.3e-06,1.3453056488,12.3623031085,1.3497705912
"182",0.1426643148,-0.2102913433,-0.0024862761,-0.0024308334,-1.8e-06,1.3475436167,12.3611221109,1.350519339
"183",0.1424109612,-0.1197329222,-0.0024897348,-0.0024335437,-1.4e-06,1.3480623238,12.3619573201,1.3447233818
"184",0.0383340682,-0.0530406392,-0.0024748632,-0.002452729,-2e-06,1.3449211739,12.3620087517,1.3435661939
"185",0,0.1097399988,-0.0014175718,-0.002439691,-2.4e-06,1.3445898204,12.3617029733,1.3421937476
"186",0,0.1147161464,-0.0024067737,-0.0024507896,-1.4e-06,1.3478127676,12.3631231905,1.3440628805
"187",0,0.0991388624,-0.002503314,-0.0024486499,-1.7e-06,1.3479007021,12.361689301,1.3451730052
"188",0,0.0954517543,-0.0025184096,-0.002444433,-2e-06,1.3495268058,12.3616015628,1.345900706
